517179,trabzon,692,13
387891,erzincan,1332,33
430193,sivas,1132,3
253809,gaziantep,1606,34
210666,artvin,1621,0
973442,erzincan,1723,29
845781,kars,1397,21
654578,mugla,1885,50
897591,mugla,1111,30
223787,mugla,1859,1
918839,adana,926,12
275441,antalya,303,27
291584,siirt,1296,46
509574,kars,1445,15
620500,trabzon,467,3
831825,erzincan,31,47
322714,siirt,252,41
614756,sakarya,519,6
625321,siirt,386,2
184477,izmir,744,30
636702,artvin,334,31
891921,bursa,502,16
964556,tunceli,1073,43
557722,diyarbakir,493,8
373765,diyarbakir,154,39
534919,kocaeli,859,16
978210,rize,1034,22
116215,kars,241,6
967839,duzce,1050,24
409264,rize,393,50
483875,mersin,534,37
684293,tunceli,315,13
795544,kocaeli,1236,48
738388,edirne,331,29
404637,sakarya,569,1
830776,sivas,1179,21
460875,izmir,111,8
194936,samsun,3,15
603233,bursa,234,21
829593,trabzon,1503,13
195682,artvin,1041,49
539585,gaziantep,131,26
301821,kocaeli,1160,3
458512,erzurum,437,4
846007,konya,818,27
554553,sakarya,1370,16
589293,rize,287,21
892274,erzurum,1047,16
659967,konya,1339,10
658208,diyarbakir,302,3
852073,duzce,1647,14
381653,siirt,1392,1
972620,mersin,1227,7
693222,antalya,294,13
750783,samsun,1025,7
202514,istanbul,883,27
416324,duzce,1039,33
957621,tunceli,113,33
285869,sakarya,301,32
121131,mugla,494,5
839436,sakarya,1176,28
319568,kars,555,12
590144,kars,742,49
199683,antalya,691,27
421770,bursa,1484,39
524490,konya,542,18
400815,kars,457,44
241313,izmir,360,16
240151,samsun,622,41
243503,edirne,1835,50
250345,izmir,1935,1
423023,sakarya,1305,1
337111,sakarya,124,39
476738,mugla,904,5
460790,erzurum,1540,49
512342,bursa,1348,29
777881,konya,893,20
526227,kocaeli,1000,21
694156,tunceli,1765,13
838658,kars,42,50
594828,antalya,157,16
371690,kars,349,3
173474,erzincan,1858,26
554997,mugla,527,12
923668,rize,332,16
116029,siirt,1307,21
546249,mugla,1671,43
390132,edirne,290,13
804507,trabzon,931,29
807883,kocaeli,283,33
860145,sakarya,586,6
592051,kars,179,49
865112,mugla,1017,5
929753,sakarya,609,41
454244,kocaeli,868,50
376104,bursa,1291,45
746606,sakarya,247,39
803147,konya,368,48
274237,istanbul,1858,8
991471,bursa,1456,12
174265,mersin,1032,48
632967,duzce,464,12
806584,kocaeli,243,33
320041,kocaeli,1307,7
536979,gaziantep,1586,5
602498,konya,634,42
439125,sakarya,1612,48
482872,konya,906,20
729157,trabzon,1898,39
994489,duzce,727,2
488998,antalya,1115,2
288088,diyarbakir,421,39
774068,duzce,1757,27
403285,erzurum,1071,47
876683,istanbul,479,15
793543,duzce,1258,36
501682,izmir,14,34
703240,mersin,1284,22
603060,gaziantep,151,29
734694,adana,1143,5
926904,kars,423,45
988830,kars,1970,17
812252,mersin,230,45
943727,mersin,1586,13
815182,rize,995,28
398818,sakarya,1108,19
162356,antalya,1830,1
890151,artvin,984,3
930486,edirne,1511,39
234056,sivas,1103,23
375455,erzincan,154,25
956881,mersin,1772,46
989590,mersin,559,7
428282,artvin,1034,45
743592,tunceli,853,9
570226,gaziantep,1529,45
523446,kocaeli,1407,42
481027,adana,416,4
797678,kocaeli,1466,17
309472,artvin,1402,3
259889,kars,413,2
442604,izmir,1857,50
875490,konya,1090,16
883792,diyarbakir,691,49
942653,tunceli,1882,4
377300,antalya,1254,27
915840,samsun,723,19
147303,kocaeli,110,25
303653,konya,1460,40
476912,sivas,255,39
237737,erzurum,391,19
698772,adana,362,46
408215,rize,1262,0
781561,erzurum,1339,14
974741,edirne,1524,20
233855,konya,1251,29
722687,sakarya,1959,11
235595,erzincan,939,20
436140,gaziantep,1461,14
297310,diyarbakir,1455,41
818226,konya,1411,40
468705,konya,474,22
679852,gaziantep,264,24
434595,edirne,303,2
825073,adana,934,35
749150,siirt,1579,28
633695,rize,1371,32
729525,mugla,1855,36
550403,erzurum,1602,7
430414,kocaeli,1368,19
802762,kars,1735,30
896681,erzincan,1892,27
294031,tunceli,633,26
986094,sakarya,1909,27
118612,diyarbakir,1940,11
155604,samsun,737,41
518000,duzce,80,39
241875,mugla,1237,19
111811,trabzon,1034,6
569655,adana,1062,10
390574,siirt,1145,25
494293,antalya,1563,27
754954,diyarbakir,1861,3
285224,duzce,1670,5
617735,kars,1290,20
258475,konya,362,3
879788,duzce,143,40
489940,kars,720,21
999980,izmir,10,46
456523,rize,1278,38
941570,konya,954,40
521627,adana,1230,6
